id;kvk;naam;type;identifier
ce627910-59c8-43b6-8337-134b70a5cf6a;27376002;Gemeente Zoetermeer;Gemeente;GM0637
cb605bc5-2c9d-4a1f-862e-7d6b5af79d60;27376655;TNO;Overig;
b9a3628b-734a-4a06-b941-1591943b8b3c;27378529;Rijksdienst voor Ondernemend Nederland;Overig;
b6870a51-65f5-46fc-a014-57423dd39f6a;27380612;Gemeente Wassenaar;Gemeente;GM0629
70210218-9045-425d-87ed-fd52bb16ce54;27381083;Gemeente Voorschoten;Gemeente;GM0626
2ad3bd13-5011-4b6c-9944-11e4268e912f;28047921;IDDS B.V.;Overig;
94338fd7-d6d8-426f-877b-acb3c314a396;29010639;Oasen N.V.;Overig;
b584a5c6-42a4-4858-a466-cc82f450b8c1;29021830;Antea Nederland B.V.;Overig;
ddb9680f-a7cb-428c-9910-cd3a56d12c45;29032656;Ifco Funderingsexpertise B.V.;Overig;
53e4bf1a-c646-469d-9f16-ccc300886ade;30101055;Grondslag B.V.;Overig;
